timestamp,location_id,precip_1h,precip_24h,soil_moisture,temperature,elevation,slope,impervious_frac,land_use,flood_event,pred_prob
2025-09-24 00:00,Colombo_01,2.01,60.04,0.67,28.8,5.2,2.9,0.65,Urban,1,0.4584711059138115
2025-09-24 01:00,Colombo_01,5.71,81.51,0.48,29.1,9.3,2.6,0.79,Urban,1,0.5467348144640959
2025-09-24 02:00,Colombo_01,1.79,51.21,0.34,29.6,13.8,3.7,0.63,Urban,1,0.4297841359156765
2025-09-24 03:00,Colombo_01,14.39,45.45,0.3,26.8,8.0,2.5,0.62,Urban,1,0.671467747798093
2025-09-24 04:00,Colombo_01,3.79,39.54,0.4,27.6,5.9,2.1,0.72,Urban,0,0.48792424453662836
2025-09-24 05:00,Colombo_01,3.57,38.67,0.76,30.9,12.6,2.0,0.51,Urban,1,0.512652404621675
2025-09-24 06:00,Colombo_01,4.76,57.31,0.41,26.4,11.1,0.1,0.53,Urban,1,0.5696652990122218
2025-09-24 07:00,Colombo_01,9.3,60.17,0.79,30.8,10.7,1.7,0.67,Urban,1,0.6353657924955519
2025-09-24 08:00,Colombo_01,2.02,64.43,0.49,28.9,5.5,4.9,0.88,Urban,1,0.40493326073366787
2025-09-24 09:00,Colombo_01,5.09,57.9,0.31,30.3,6.4,4.4,0.79,Urban,0,0.47353388870948826
2025-09-24 10:00,Colombo_01,4.94,61.51,0.73,30.0,11.2,1.6,0.54,Urban,1,0.5580237957798948
2025-09-24 11:00,Colombo_01,6.78,81.27,0.48,26.5,7.1,2.9,0.84,Urban,0,0.5472155831998612
2025-09-24 12:00,Colombo_01,2.68,77.21,0.63,29.0,10.0,4.2,0.79,Urban,1,0.44962535576045115
2025-09-24 13:00,Colombo_01,6.43,76.29,0.79,31.1,10.4,2.2,0.74,Urban,1,0.5817888153442569
2025-09-24 14:00,Colombo_01,1.87,73.54,0.23,28.0,7.8,0.1,0.83,Urban,1,0.5221632764612959
2025-09-24 15:00,Colombo_01,0.25,68.16,0.26,31.8,14.5,0.4,0.66,Urban,1,0.501929589210763
2025-09-24 16:00,Colombo_01,0.69,40.83,0.63,28.2,13.4,2.6,0.59,Urban,0,0.43127971123743525
2025-09-24 17:00,Colombo_01,3.37,56.19,0.37,26.0,12.2,4.8,0.7,Urban,1,0.41999272872850824
2025-09-24 18:00,Colombo_01,6.21,62.76,0.31,27.7,5.8,3.5,0.72,Urban,1,0.5115541635672075
2025-09-24 19:00,Colombo_01,3.59,48.23,0.22,31.7,6.1,0.4,0.72,Urban,0,0.5449321558624126
2025-09-24 20:00,Colombo_01,3.78,84.55,0.21,27.2,9.9,0.9,0.73,Urban,1,0.5441546252018431
2025-09-24 21:00,Colombo_01,5.03,54.75,0.66,31.1,6.6,3.9,0.88,Urban,0,0.49192229886734756
2025-09-24 22:00,Colombo_01,4.83,39.93,0.28,31.2,14.8,4.2,0.86,Urban,0,0.46816581704843574
2025-09-24 23:00,Colombo_01,7.7,54.02,0.48,27.5,6.6,3.1,0.85,Urban,1,0.5449907119704533
2025-09-25 00:00,Colombo_01,2.23,64.77,0.56,25.6,9.9,3.2,0.82,Urban,0,0.44360027994615236
2025-09-25 01:00,Colombo_01,4.49,48.23,0.46,30.1,8.6,0.1,0.88,Urban,0,0.5668350059242304
2025-09-25 02:00,Colombo_01,8.95,57.14,0.22,27.2,11.4,4.1,0.54,Urban,0,0.546189299848699
2025-09-25 03:00,Colombo_01,4.48,40.11,0.67,30.5,6.3,3.9,0.61,Urban,1,0.47410014543849943
2025-09-25 04:00,Colombo_01,7.88,53.35,0.21,28.1,9.3,1.3,0.7,Urban,1,0.5932920981789978
2025-09-25 05:00,Colombo_01,2.31,59.21,0.66,28.4,7.7,3.5,0.84,Urban,1,0.4450197065662543
2025-09-25 06:00,Colombo_01,6.49,57.85,0.74,30.4,13.9,1.1,0.7,Urban,0,0.5971228705242743
2025-09-25 07:00,Colombo_01,6.53,70.41,0.46,27.7,5.4,0.2,0.8,Urban,0,0.6063951004873582
2025-09-25 08:00,Colombo_01,0.65,46.98,0.52,28.1,14.1,1.0,0.56,Urban,1,0.4730259490021778
2025-09-25 09:00,Colombo_01,4.11,63.91,0.49,27.6,13.3,0.9,0.6,Urban,0,0.5479952078454328
2025-09-25 10:00,Colombo_01,3.79,66.88,0.43,27.6,8.0,1.7,0.79,Urban,0,0.5166066779291096
2025-09-25 11:00,Colombo_01,5.99,50.19,0.73,28.7,12.9,2.1,0.57,Urban,0,0.5532089335816228
2025-09-25 12:00,Colombo_01,3.82,48.16,0.74,30.7,5.3,2.5,0.64,Urban,1,0.5036939835176995
2025-09-25 13:00,Colombo_01,15.88,84.71,0.4,27.5,14.7,2.4,0.61,Urban,1,0.7258875515153675
2025-09-25 14:00,Colombo_01,10.38,55.09,0.57,28.7,10.3,1.4,0.64,Urban,1,0.6467625601924769
2025-09-25 15:00,Colombo_01,5.1,64.59,0.76,29.7,8.0,0.1,0.78,Urban,0,0.5942117833687983
2025-09-25 16:00,Colombo_01,4.02,65.23,0.78,26.9,8.6,3.0,0.65,Urban,0,0.49391310542446615
2025-09-25 17:00,Colombo_01,1.17,42.26,0.51,26.9,5.7,2.0,0.72,Urban,0,0.4426912425417002
2025-09-25 18:00,Colombo_01,3.83,61.79,0.47,31.5,14.9,1.5,0.54,Urban,0,0.5423703692000219
2025-09-25 19:00,Colombo_01,3.6,61.08,0.37,30.1,5.4,4.3,0.82,Urban,1,0.44972286729459165
2025-09-25 20:00,Colombo_01,15.12,84.83,0.78,29.0,11.5,3.7,0.65,Urban,0,0.6962294662381653
2025-09-25 21:00,Colombo_01,4.88,61.07,0.29,29.5,9.4,4.3,0.76,Urban,0,0.4728402354726693
2025-09-25 22:00,Colombo_01,6.93,69.8,0.55,25.2,14.5,2.5,0.79,Urban,1,0.5538918639521663
2025-09-25 23:00,Colombo_01,2.04,70.45,0.37,29.3,7.5,0.7,0.58,Urban,1,0.5197567244146652
2025-09-26 00:00,Colombo_01,6.05,55.48,0.37,28.6,10.3,3.5,0.85,Urban,0,0.508762199507634
2025-09-26 01:00,Colombo_01,0.21,92.32,0.44,28.8,9.8,1.0,0.75,Urban,1,0.4900780016399224
2025-09-26 02:00,Colombo_01,7.81,49.57,0.8,27.5,12.0,2.2,0.67,Urban,1,0.5788356714278816
2025-09-26 03:00,Colombo_01,1.64,40.01,0.23,25.6,5.7,0.3,0.57,Urban,1,0.48473151324407776
2025-09-26 04:00,Colombo_01,1.19,35.85,0.55,26.4,6.9,4.1,0.88,Urban,0,0.3843725694759159
2025-09-26 05:00,Colombo_01,2.96,52.85,0.25,31.7,7.1,0.6,0.8,Urban,1,0.5309725808824985
2025-09-26 06:00,Colombo_01,5.87,38.41,0.29,27.9,12.4,4.5,0.58,Urban,0,0.4699673302481377
2025-09-26 07:00,Colombo_01,2.94,50.28,0.46,28.3,6.9,4.3,0.64,Urban,0,0.4292354786929858
2025-09-26 08:00,Colombo_01,1.34,59.05,0.51,25.4,10.7,2.3,0.82,Urban,1,0.44461233244304954
2025-09-26 09:00,Colombo_01,4.85,62.42,0.36,25.3,7.2,3.7,0.78,Urban,0,0.47238150286403646
2025-09-26 10:00,Colombo_01,1.67,54.14,0.39,30.0,13.6,3.1,0.81,Urban,0,0.4440189331523325
2025-09-26 11:00,Colombo_01,2.93,50.18,0.25,28.8,14.4,4.0,0.68,Urban,1,0.43742788771114516
2025-09-26 12:00,Colombo_01,1.87,52.69,0.38,28.6,10.2,2.2,0.79,Urban,0,0.4625111023086624
2025-09-26 13:00,Colombo_01,3.73,66.52,0.78,26.7,8.5,3.9,0.65,Urban,0,0.46566617067062516
2025-09-26 14:00,Colombo_01,3.05,46.23,0.77,30.2,7.3,2.3,0.58,Urban,1,0.4937757147356083
2025-09-26 15:00,Colombo_01,3.75,50.24,0.4,26.2,5.5,4.7,0.75,Urban,0,0.42270011943664937
2025-09-26 16:00,Colombo_01,15.35,63.5,0.54,26.3,7.7,2.4,0.89,Urban,1,0.6981900492062583
2025-09-26 17:00,Colombo_01,1.21,60.34,0.75,28.2,11.5,2.3,0.62,Urban,1,0.4620650974475594
2025-09-26 18:00,Colombo_01,8.36,39.56,0.2,27.0,10.3,3.9,0.68,Urban,1,0.5247658124780203
2025-09-26 19:00,Colombo_01,0.1,74.08,0.69,26.7,14.4,4.1,0.77,Urban,1,0.3980212935690478
2025-09-26 20:00,Colombo_01,1.12,53.0,0.77,29.5,9.0,2.8,0.72,Urban,0,0.4454112267605061
2025-09-26 21:00,Colombo_01,3.89,45.03,0.25,29.6,11.9,0.9,0.84,Urban,1,0.529681055295048
2025-09-26 22:00,Colombo_01,2.96,42.66,0.3,30.8,9.9,2.3,0.8,Urban,0,0.4802494607764923
2025-09-26 23:00,Colombo_01,4.89,74.33,0.78,27.9,10.1,4.8,0.52,Urban,0,0.47719757542182417
2025-09-27 00:00,Colombo_01,2.48,34.86,0.52,25.5,7.7,3.8,0.9,Urban,1,0.4105362177782549
2025-09-27 01:00,Colombo_01,3.16,64.73,0.21,26.9,9.5,4.1,0.8,Urban,1,0.4361654272604074
2025-09-27 02:00,Colombo_01,3.11,71.0,0.35,31.9,9.7,0.2,0.85,Urban,0,0.5590182653558834
2025-09-27 03:00,Colombo_01,3.41,53.97,0.47,29.2,12.1,2.3,0.76,Urban,0,0.4953436883059459
2025-09-27 04:00,Colombo_01,3.59,82.8,0.62,30.0,14.4,3.2,0.84,Urban,1,0.5008088420421193
2025-09-27 05:00,Colombo_01,3.01,46.81,0.64,25.1,8.3,4.2,0.54,Urban,0,0.4248047532058447
2025-09-27 06:00,Colombo_01,2.51,66.4,0.8,28.6,5.4,0.2,0.64,Urban,1,0.5426465374681027
2025-09-27 07:00,Colombo_01,2.78,60.5,0.37,25.3,10.0,4.3,0.85,Urban,0,0.4182239997058263
2025-09-27 08:00,Colombo_01,3.98,85.39,0.52,29.0,10.4,2.7,0.58,Urban,1,0.5187079474039322
2025-09-27 09:00,Colombo_01,4.03,55.34,0.52,31.4,6.7,1.0,0.53,Urban,0,0.5509504750088681
2025-09-27 10:00,Colombo_01,1.91,64.84,0.44,31.8,12.6,1.6,0.82,Urban,0,0.5006038975109492
2025-09-27 11:00,Colombo_01,1.45,60.42,0.3,28.8,14.8,1.4,0.83,Urban,0,0.4808861461556597
2025-09-27 12:00,Colombo_01,0.61,40.92,0.79,28.2,14.5,2.7,0.57,Urban,0,0.43148521860318734
2025-09-27 13:00,Colombo_01,10.28,57.08,0.71,31.6,7.0,0.3,0.84,Urban,1,0.6791909701290328
